,train_loss,valid_loss
0,2014.1735418483472,2731.5230759410188
1,1546.9680617222893,1762.0280727222562
2,1111.9939787937858,967.492768574506
3,721.7120220766733,793.8073261374763
4,719.9712266278981,646.707972703618
5,546.2285854900509,667.4822074677019
6,605.8222125316936,635.556975646837
7,505.2499190691863,828.5021239455479
8,499.6553678978716,483.3394876900517
9,162.41455342838154,1086.8159457638394
10,433.62244163544494,1244.6283543187503
11,763.5841132395458,1125.0700743120785
12,786.462395133808,722.9487639996223
13,675.6077620788261,512.7566368482076
14,543.6560885680605,418.77458662500914
15,422.160639756864,373.19014350844856
16,328.50169695736173,350.23243923753034
17,260.1673645123166,364.4320837161504
18,226.18886077718977,363.62468043062836
19,194.97798122483994,344.33834711640765
20,168.55032078432188,319.1795634427108
21,147.4792518439339,291.51738324272446
22,131.353840353714,258.3874273566762
23,118.04248205348325,219.83189877836654
24,106.33231540033213,189.31670668824032
25,96.9311933163516,167.226239221481
26,89.06635382697148,144.5294313567962
27,81.69949542350867,124.14715547603555
28,75.20127691427854,104.76810975638607
29,68.73824342461315,88.54175371683475
30,62.87073567622392,76.67245765812307
31,58.8105218185953,76.12929623245145
32,56.944684674238644,69.5242212305214
33,52.425743004924236,65.59297580590162
34,48.48070849719936,60.28790889128383
35,44.91707478227491,49.290132344836216
36,42.041552821437065,39.39121541463343
37,41.226740504157775,35.887540446264516
38,40.78449056650151,35.923778679445
39,39.4570788466015,37.27563263435635
40,37.26493017257397,41.837779990872754
41,57.97232444926671,23.309030535327718
42,59.26447561661304,33.774478782749306
43,59.230894487605624,38.22467257254417
44,56.020808415876274,33.86581650382626
45,56.55919289059642,29.508444250830507
46,48.83906062399183,29.049972935574868
47,45.41340792850369,28.860365516746242
48,42.81393800476847,28.857049891463248
49,42.62059491095672,28.854599952537683
50,42.43669137685212,28.85016701855299
51,42.19527160234307,28.84998148102265
52,42.17942680100114,28.84974064605194
53,42.16352278534918,28.849432109384605
54,42.14753212797511,28.849090673708513
55,42.13150617367205,28.84870577059337
56,42.115455075899185,28.84830165621679
57,42.09934305905926,28.847810115146178
58,42.08321863669223,28.847246737357636
59,42.06707199040325,28.846640924595704
60,42.05090316961575,28.845968607480852
61,42.034741248644565,28.845266407040373
62,42.01857290607694,28.84450221594064
63,42.00240933620433,28.843718683674524
64,41.98626715426069,28.842853124932542
65,41.970135945506414,28.841966497908288
66,41.95404727871397,28.84106026193088
67,41.937971546310266,28.84009337712875
68,41.921951707197806,28.83907696136642
69,41.90595867593443,28.838066024635435
70,41.89000754782362,28.836974026766256
71,41.87409137063226,28.83584275844866
72,41.85821785807754,28.834656386015315
73,41.84239835824456,28.833441353145947
74,41.82662664827944,28.832215391385642
75,41.810898171809974,28.83093849260331
76,41.79522131233966,28.829631766663322
77,41.779605392932375,28.828302126380247
78,41.76403793792399,28.826934553857427
79,41.74852978041945,28.825502771018364
80,41.73308357704946,28.824076335855352
81,41.71769188165843,28.822626274937647
82,41.7023468901125,28.82113217522662
83,41.687067863253915,28.81961753184684
84,41.671829101413,28.818074359386326
85,41.65666706564942,28.816523073784385
86,41.64154853152516,28.814954163171933
87,41.62649307603067,28.813358493627067
88,41.61149130461537,28.811746967769675
89,41.59654561127637,28.810113637397688
90,41.58165741665008,28.808482119481294
91,41.56682520504474,28.80680088308145
92,41.55204640411614,28.805132615683153
93,41.53733503283729,28.803382242270647
94,41.5226671629073,28.80168723125098
95,41.508064489748406,28.79991224337573
96,41.49349500678342,28.79817303521122
97,41.478988476160545,28.796377358451235
98,41.46452607559202,28.794578095379013
99,41.450136396731224,28.792717769028968
100,41.43578922144856,28.79089253942463
101,41.421514155442445,28.78899250480269
102,41.407286021109606,28.787100762786093
103,41.39312408634917,28.785194974011876
104,41.37900417176657,28.783252740048436
105,41.36494044021192,28.78131068264823
106,41.350925251009635,28.779339642307605
107,41.3369538022627,28.777376253189384
108,41.323060221711174,28.775354251731187
109,41.30921542303921,28.77334413426676
110,41.29540779698501,28.771276783527963
111,41.28165150526284,28.76925977218586
112,41.267956142767986,28.767175175108907
113,41.25430517742225,28.765091652079718
114,41.240686942461814,28.762977845857677
115,41.22712558090128,28.760837748423608
116,41.21361919566748,28.758676476897865
117,41.20016268297584,28.75649758036161
118,41.1867488920466,28.754332389784395
119,41.173385575973086,28.75212423083576
120,41.16007811585025,28.749889286683658
121,41.14681013482907,28.74764770112961
122,41.13359121392107,28.745365532464348
123,41.12042869492496,28.743096197819494
124,41.10730395636563,28.740779489094468
125,41.09423179810501,28.738465663246945
126,41.08121740546515,28.736154973477824
127,41.06824797487941,28.733801437908067
128,41.05533065000378,28.73144762286635
129,41.04245585165941,28.72904885768609
130,41.02961366559619,28.726677660599915
131,41.01682812600376,28.72425957173982
132,41.00406686573619,28.72185256206285
133,40.991360440878715,28.719405880619888
134,40.97869897733075,28.71695669642213
135,40.96609615375028,28.714473948462302
136,40.953517821198375,28.711956899057743
137,40.94099000287254,28.70945423712692
138,40.928497815946415,28.706937459860153
139,40.91605686042288,28.704410036075085
140,40.90364139312118,28.701819230879966
141,40.89127739210711,28.699259221080865
142,40.87893692444626,28.696655789050663
143,40.866655799450896,28.69406876711825
144,40.85440939141202,28.69141934224899
145,40.842202852395395,28.688791149089713
146,40.83002425366286,28.68613197736219
147,40.81789872372214,28.68347651669319
148,40.805802253208576,28.680786795436386
149,40.79374366388047,28.67812533764906
150,40.78171133656126,28.675385255800695
151,40.76972307934733,28.67269791029442
152,40.75777169425022,28.669949567913136
153,40.74586060264551,28.667180251373793
154,40.73397484303067,28.664439628068067
155,40.72214266624266,28.661664743449364
156,40.71033927530876,28.65887948009913
157,40.69857271761005,28.656038911974367
158,40.68683723509673,28.653232662055718
159,40.67514348288394,28.65040675209214
160,40.663495414996895,28.647523219946986
161,40.6518682957997,28.644667844736734
162,40.64028123575388,28.64181998576775
163,40.62872796290602,28.6389223280518
164,40.617208399315345,28.6360289979566
165,40.605736531670225,28.633142286618142
166,40.59427655511031,28.630196721424
167,40.58286252557431,28.627292105603072
168,40.57148937994815,28.624347762573354
169,40.560132943102495,28.621375226102828
170,40.54880934729979,28.618405784853774
171,40.537527124513225,28.615418839714646
172,40.52626428558603,28.612412835056602
173,40.5150531802303,28.609400911368237
174,40.50386746268659,28.606383564816497
175,40.49271186709104,28.60337349226514
176,40.48157718195378,28.600318430168652
177,40.47049341615862,28.59726287335555
178,40.45941508236757,28.594200554020063
179,40.44838624201765,28.591118331673595
180,40.43737435188533,28.588036486549147
181,40.426412724934984,28.584965452095883
182,40.41548134738343,28.58184648099268
183,40.40457215063462,28.578725849176408
184,40.39368716643064,28.5755951195509
185,40.38284028537291,28.572448546023224
186,40.37201483748187,28.569275601020006
187,40.36122376196244,28.566126351800147
188,40.35046714210755,28.562952458220632
189,40.33974442652085,28.559759813040728
190,40.329040715988725,28.556581274412263
191,40.318384384081725,28.553408389928034
192,40.30774407002194,28.550202662603017
193,40.29713185097288,28.546978693705267
194,40.28654231969779,28.543743649250246
195,40.27599131982367,28.54053457785388
196,40.265467434654504,28.53727797039998
197,40.254965796868724,28.534041068198956
198,40.24449943215399,28.530774042606936
199,40.23405968777337,28.52751089005081
