time (s),T1 (K),P1 (Bar),V1 (m3)
0.0004,1000.9999833051509,101324.99831049965,1.0
0.0008,1000.9999683239054,101324.99679530668,1.0
0.0012000000000000001,1000.999954988936,101324.9954477704,1.0
0.0016,1000.9999434492506,101324.99428313038,1.0
0.002,1000.9999338318769,101324.99331439308,1.0
0.0024000000000000002,1000.9999261369151,101324.99254170884,1.0
0.0028000000000000004,1000.9999203673206,101324.99196550893,1.0
0.0032000000000000006,1000.9999167189634,101324.99160574474,1.0
0.0036000000000000008,1000.9999152910581,101324.99147257522,1.0
0.004000000000000001,1000.999916021567,101324.99155982825,1.0
0.004400000000000001,1000.9999191310108,101324.99188992538,1.0
0.004800000000000001,1000.9999247393595,101324.99247510133,1.0
0.0052000000000000015,1000.9999329236795,101324.993323239,1.0
0.005600000000000002,1000.999943630663,101324.99442901519,1.0
0.006000000000000002,1000.9999571999728,101324.99582687594,1.0
0.006400000000000002,1000.9999737329529,101324.99752713369,1.0
0.006800000000000002,1000.9999932390048,101324.99953078433,1.0
0.007200000000000002,1001.0000158233033,101325.00184850821,1.0
0.007600000000000003,1001.0000416409989,101325.00449603412,1.0
0.008000000000000002,1001.0000708278119,101325.00748711318,1.0
0.008400000000000001,1001.0001035339556,101325.01083695273,1.0
0.0088,1001.0001398580599,101325.01455552717,1.0
0.0092,1001.0001799037084,101325.01865330078,1.0
0.0096,1001.0002237962818,101325.02314293262,1.0
0.009999999999999998,1001.0002716731151,101325.02803827947,1.0
0.010399999999999998,1001.0003236674809,101325.0333527749,1.0
0.010799999999999997,1001.0003799116473,101325.03909973832,1.0
0.011199999999999996,1001.0004405330992,101325.0452919924,1.0
0.011599999999999996,1001.0005056683274,101325.05194325876,1.0
0.011999999999999995,1001.0005754357061,101325.0590654126,1.0
0.012399999999999994,1001.0006499680366,101325.06667177669,1.0
0.012799999999999994,1001.0007293934731,101325.07477519105,1.0
0.013199999999999993,1001.0008138410618,101325.0833885733,1.0
0.013599999999999992,1001.0009034404691,101325.09252489182,1.0
