time (s),T1 (K),P1 (Bar),V1 (m3),YPOME,YCO2,YO2,Y_CO,Y_H2O,Y_OH,Y_H2O2
0.0002,800.0000052732726,1013250.0075376886,1.0,0.03426079248747128,1.2123400564391874e-11,0.057627950186242144,1.4492817992151702e-11,2.866217172931521e-10,1.2428221194726308e-13,6.708836342818656e-11
0.0004,800.0000135957871,1013250.0191706016,1.0,0.03426078829888707,3.030184356244232e-11,0.057627948624198316,3.5693565898290155e-11,6.852113170946141e-10,1.5619959014499068e-13,2.359633453661815e-10
0.0006000000000000001,800.0000243735312,1013250.0341176895,1.0,0.034260783315558305,5.2473193677697523e-11,0.057627946799459845,6.105669386847897e-11,1.1717058199899019e-09,1.8663718636929395e-13,4.711512617077423e-10
0.0008,800.0000375266729,1013250.0522877084,1.0,0.03426077755118551,7.846825450905977e-11,0.057627944726919914,9.035771127844129e-11,1.7447864997713028e-09,2.1747247749411754e-13,7.519178087120004e-10
0.001,800.0000530960078,1013250.0737466982,1.0,0.03426077098565727,1.0832658372621019e-10,0.05762794240567338,1.2360910812099897e-10,2.4073246532077652e-09,2.4983872094130513e-13,1.066658559615955e-09
0.0012000000000000001,800.000071198348,1013250.098660089,1.0,0.03426076357704472,1.422188121336939e-10,0.057627939825172524,1.6097060000432424e-10,3.1647497625558483e-09,2.844442276820576e-13,1.4093179164436537e-09
0.0014000000000000002,800.0000920004371,1013250.1272589293,1.0,0.03426075526863325,1.8040096133313003e-10,0.057627936968807476,2.0269633088048103e-10,4.024129439019134e-09,3.21766969324101e-13,1.7771763031711035e-09
0.0016000000000000003,800.0001157049315,1013250.1598218125,1.0,0.034260745992704456,2.2318967889777726e-10,0.057627933815822055,2.491062174347583e-10,4.993700845649451e-09,3.6216455059027025e-13,2.1695591392554216e-09
0.0018000000000000004,800.0001425426805,1013250.1966649865,1.0,0.03426073567260334,2.7094843203324393e-10,0.057627930342371535,3.005698995473953e-10,6.082630430039868e-09,4.0594035740176634e-13,2.5870406591249006e-09
0.0020000000000000005,800.0001727688606,1013250.2381374853,1.0,0.034260724223750164,3.240803924685925e-10,0.05762792652206274,3.5749836297432165e-10,7.300909617570357e-09,4.53383471548224e-13,3.030953296577055e-09
0.0022000000000000006,800.0002066621232,1013250.284620148,1.0,0.034260711553817734,3.8302658600375514e-10,0.05762792232609312,4.2034158409371936e-10,8.659353446670096e-09,5.047880396311556e-13,3.5031446919644216e-09
0.0024000000000000007,800.0002445251383,1013250.3365264862,1.0,0.03426069756251223,4.4826647009947755e-10,0.057627917723213115,4.895889183869461e-10,1.016964274281931e-08,5.604639390603824e-13,4.0058511633404944e-09
0.0026000000000000007,800.0002866853097,1013250.3943037488,1.0,0.034260682141291944,5.203188141278295e-10,0.05762791267967412,5.657697972956492e-10,1.184436876255909e-08,6.207472896448908e-13,4.5415851097148396e-09
0.002800000000000001,800.0003334966484,1013250.4584355033,1.0,0.03426066517275733,5.997445824243829e-10,0.05762790715902893,6.49456688351552e-10,1.3697115731974401e-08,6.860040780309572e-13,5.113112559674422e-09
0.003000000000000001,800.0003853420204,1013250.5294447233,1.0,0.03426064652992511,6.871504520744388e-10,0.05762790112189125,7.412687431947614e-10,1.574255371665967e-08,7.566325454351189e-13,5.7234559706507434e-09
0.003200000000000001,800.0004426354835,1013250.6078969815,1.0,0.03426062607546344,7.831924720263135e-10,0.05762789452569161,8.418755676797333e-10,1.7996532845528506e-08,8.330664209435618e-13,6.375896683564404e-09
0.003400000000000001,800.0005058249019,1013250.6944040307,1.0,0.034260603660841535,8.885801768001818e-10,0.057627887324402834,9.520014822911391e-10,2.0476186569942405e-08,9.157776235102477e-13,7.073989782493011e-09
0.003600000000000001,800.0005753948527,1013250.7896277645,1.0,0.034260579125384036,1.0040811729688142e-09,0.05762787946823621,1.0724302785878637e-09,2.320004419975525e-08,1.0052789784840368e-12,7.821588151700687e-09
0.0038000000000000013,800.0006518697852,1013250.8942845326,1.0,0.034260552295241956,1.1305261263467092e-09,0.05762787090331283,1.2040103918306875e-09,2.6188152059961914e-08,1.1021272621456588e-12,8.622870597569282e-09
0.004000000000000001,800.0007358174157,1013251.0091497711,1.0,0.03426052298228666,1.2688141180219264e-09,0.0576278615713114,1.3476604584508814e-09,2.9462203275862165e-08,1.2069266254152782e-12,9.482371922835533e-09
0.004200000000000001,800.0008278523836,1013251.1350629891,1.0,0.03426049098291932,1.4199184087643176e-09,0.05762785140908958,1.5043753023304135e-09,3.3045677183781734e-08,1.3203324019186134e-12,1.0405015299195237e-08
0.0044,800.0009286402175,1013251.2729331853,1.0,0.034260456076780015,1.584892692941849e-09,0.05762784034827364,1.675232436969485e-09,3.696399007890485e-08,1.443055291053609e-12,1.1396148373892882e-08
0.0046,800.0010389016588,1013251.4237447451,1.0,0.03426041802534426,1.7648779028021829e-09,0.05762782831481232,1.8613991498060108e-09,4.1244658766410895e-08,1.5758659571159964e-12,1.2461583599899788e-08
0.0048,800.0011594173461,1013251.5885638262,1.0,0.03426037657040003,1.9611095986222616e-09,0.057627815228492224,2.064140208581286e-09,4.5917477989371074e-08,1.719600097321198e-12,1.360764245576179e-08
0.004999999999999999,800.0012910329191,1013251.7685453286,1.0,0.03426033143239728,2.1749259853901594e-09,0.0576278010024118,2.2848262358561168e-09,5.10147128508697e-08,1.87516401535603e-12,1.4841203556271111e-08
